fecha,separador,user,separador,texto,separador,ubicacion
2020-09-30T13:23:46.000Z,|,cstl2021,|,"When asked to denounce white supremacy, Donald Trump responded: “Proud Boys, stand back AND stand by.”

Joe Biden wasn’t my choice for president. But, as a mother who is raising children, BLACK children in America I refuse to not exercise my right to VOTE against blatant hate and racism.

Let me be very clear: only white people have the privilege to “choose” not to vote for president. The rest of us are deciding between being closer to liberation and moving backwards towards slavery.

🗣Black voters must vote Joe Biden for President and THEN vote for the most progressive candidates in your local elections.

We can’t afford to have an alt right president with moderate local representatives because they’ll never push hard enough to stop the bleeding. We can’t afford to have a moderate president with moderate local representation because this is only a bandaid for a gaping wound and doing so is the equivalent of a never ending tug of war. Middle of the road politicians and their policies have never cured the problem, only allowed us to tolerate the problem longer.

Regardless of who becomes President, last night’s debate proves the only hope we have to save our communities is to vote for representation on a local level who will BOLDLY fight against racism and abuse of power.

#anewnormal #chamaformayor #prefectforpeoria #mayor #2020debate #debatepresidencial #joebiden",|,No data
2021-01-17T00:45:16.000Z,|,yakuperezg,|,"He luchado toda mi vida por el agua con esfuerzo y perseverancia, ahora desde la presidencia lucharé por todos los ecuatorianos.
#YakuClaroQueDebate #EcuadorDebate2021",|,No data
2021-01-17T15:49:33.000Z,|,xhervas.ec,|,"Me encanta que entre todos los candidatos tengamos coincidencias, este 7 de febrero los ecuatorianos tenemos la oportunidad de recuperar el país y dejar de lado la desunión a la que nos han llevado.
#ecuadordebate2021 #debatepresidencial2021 🇪🇨",|,No data
2021-01-17T02:57:50.000Z,|,elcomerciocom,|,"#DebatePresidencial2021 Ocho de los 16 candidatos a la Presidencia ya se presentaron en el primer bloque del #EcuadorDebate2021 del CNE. Estas son sus propuestas, por orden de aparición",|,No data
2021-01-17T14:17:23.000Z,|,estudiantesalaasamblea,|,"Al puro #YakuStyle el futuro presidente nos demuestra como #EcuadorDebate2021
#VotaTodo2",|,No data
2021-01-16T19:49:07.000Z,|,yakuperezg,|,"Hermanos ecuatorianos les invito al #EcuadorDebate2021 a partir de las 20:00 para socializar las propuestas de la #MinkaPorLaVida: #Ecología #Economía, #Educación y #Ética.
Junto a ustedes cambiaremos el rumbo de la historia de nuestro país. #ClaroQueSePuede #YakuPresidente",|,No data
2021-01-18T02:50:19.000Z,|,elnoticierotc,|,"#EcuadorDebate2021 ✅ Estas fueron las declaraciones del candidato Andrés Arauz en el debate de esta noche.⁣
-⁣
Síguelo en vivo en www.tctelevision.com 📺",|,No data
2021-01-18T00:47:51.000Z,|,xhervas.ec,|,"Listo y seguro para darlo todo en el 2do día de #debatepresidencial2021 🇪🇨 Buscamos un país de unidad y que deje atrás todo ese odio y confrontación.
#ecuadordebate2021",|,No data
2021-01-18T04:17:31.000Z,|,elcomerciocom,|,Los ocho primeros candidatos expusieron sus planes de gobierno en el #EcuadorDebate2021. ¿Qué opinas de sus propuestas?,|,No data
2021-01-18T03:51:38.000Z,|,tctelevision,|,"#EcuadorDebate2021 ✅ Estas fueron las declaraciones del candidato Guillermo Lasso en el debate de esta noche.⁣
-⁣
Síguelo en vivo en www.tctelevision.com 📺",|,No data
2021-01-30T22:03:18.000Z,|,caraboboesnoticias,|,"La Comisión de Registro Civil y Electoral del Consejo Nacional Electoral (CNE) reiteró que las actas certificadas de nacimiento, matrimonio y defunción no tienen fecha de vencimiento, por lo tanto las instituciones públicas y privadas deben abstenerse de solicitar a los ciudadanos las copias de estos documentos con su versión actualizada o fechas específicas.
.
.
El CNE que ya había dado anteriormente esa información pide nuevamente a los órganos y entes de la administración pública e instituciones educativas públicas y privadas, abstenerse de requerir a los ciudadanos dichas certificaciones con una fecha determinada de expedición.
.
.
En la actualidad muchos trámites exigen partidas de nacimiento, y en la mayoría de los casos una vigencia no mayor a 5 años, algo que el CNE ha reiterado no es necesario.
.
.
.
#30ene #SomosCaraboboEsNoticia #Venezuela #VenezuelaEsNoticia #Sucesos #Noticias #viral #VideoViral #nacionales #SoloEnVenezuela #venezolanosencolombia #venezolanosenperu #venezolanosenecuador #venezolanosenelextranjero #SoloEnVenezuela #venezolanosencolombia #venezolanosenmiami #Pais #CNE",|,No data
2021-01-30T19:12:05.000Z,|,metroecuador,|,"Ante las largas filas que los ciudadanos han hecho para sacar la #cédula en varios puntos de la capital y otras ciudades, el Consejo Nacional Electoral (#CNE) recordó que se puede sufragar el próximo 7 de febrero con el documento caducado.

Hubo personas que se volcaron a tramitar su documento de identidad tras el anuncio del Registro Civil sobre la extensión de sus horarios este sábado 30 y el próximo 6 de febrero para sacar la cédula. En este horario se priorizará la atención para ciudadanos que no cuenten con su cédula, por pérdida o robo, y para quienes requieran obtenerla por primera vez.

Para ampliar la noticia visita www.metroecuador.com.ec",|,No data
2021-01-05T12:18:25.000Z,|,tennislegend,|,"ATP World number 31 @ugohumbert working hard at the CNE. 💪🔥

🎥 @ugohumbert
.
.
.
#tennis #tennislegend #tennis🎾 #tenis #instatennis #ugohumbert #humbert #atp #tennispro #tennispractice #tennistraining #tennisdrills #tenniscoach #workhardplayhard #tennisfan #tennislove #tennislover #tennisrunsinourblood #tennistime #fft #tenniscourt #cne",|,No data
2020-12-12T01:11:43.000Z,|,naturainsurrecta,|,"#ATENCIÓN El circo electorero sigue, con declaraciones que rozan el absurdo. En medio de tantas promesas mentirosas, a ciertos candidatos se les escapa sus verdaderos planes. Y #YakuPerez, candidato de Pachakutik-UP, no es la excepción. El 9 de diciembre, en Zamora Chinchipe, declaró que #Ecuador debería sustituir la exportación petrolera por exportación de #agua, el ""agüita"" por la que tanto supuestamente lucha este oportunista arribista electorero. Es decir, una de las propuestas de Pérez sería seguirnos manteniendo como país primario exportador, reprimarizando nuestra economía, solo cambiando de producto estrella: ya no el petróleo, ya no el banano, ya no el cacao, supuestamente no la minería, sino el AGUA. Esto en el contexto en el que Wall Street acaba de sugerir que el agua debería ser cotizada y entrar en el mercado como el petróleo. En resumen seguir vendiendo nuestros recursos no renovables al #imperialismo. ¡Gran propuesta de este traficante de la lucha!

«Pero para eso hay que cuidarla. Hay que cuidar la naturaleza. Lo mejor de la naturaleza es el agua. Cuidemos la naturaleza, que algún rato podemos ser exportadores de agua«, señaló.

Es necesario mirar más allá de romanticismos pseudo indígenas y entender de forma objetiva de donde vienen los candidatos y cuáles son sus intereses de clase. Dentro de la democracia burguesa, quienes se postulan, no son sino títeres de las élites y futuros lacayos de los países imperialistas. ¡Arranquémosles las máscaras a los electoreros! Y si quieres elegir, ¡ELIGE LUCHAR!

#YoNoVotoLUCHO
#naturainsurrecta #elecciones2021ecuador #electoreros #politiquerosecuador #ecuador #agua #water #cambioclimatico",|,No data
2020-11-09T16:52:05.000Z,|,bella.alonso,|,TODO LISTA 1 #elecciones2021ecuador 🇪🇨 #arauzrabascall,|,No data
2020-12-07T10:41:15.000Z,|,bella.alonso,|,"#DEMOCRACIAENRIESGOEC #Cne #dianaatamaint, con cuota política #pachakutik y#Psc #nebot 🤦🏻‍♀️ #juegalimpiotce #TribunalContensiosoElectoral con cuota política #Creo #guillermolasso están violando la #constituciónecuador al no poner en firme la candidatura de #arauzrabascall #elecciones2021ecuador .BASTA DE ATROPELLO A LA DEMOCRACIA #LENINMORENO",|,No data
2020-08-18T16:04:28.000Z,|,primeraplanaec,|,"#ATENCIÓN La Revolución Ciudadana oficializó su carta presidencial para las elecciones generales de 2021.

Se trata de Andrés Arauz Galarza, de 35 años, doctor en economía por la Universidad Nacional Autónoma de México (UNAM), a quien lo acompañará al expresidente Rafael Correa, quien ahora aparecería en la papeleta electoral como candidato a vicepresidente de la República.

Ambos postulantes forman parte de la coalición Unión por la Esperanza (UNES) que integra a los movimientos políticos Centro Democrático (lista 1) y Fuerza Compromiso Social (lista 5).

🔺Participación de Correa

Aunque Correa actualmente enfrenta acciones judiciales en su contra, no sería impedido de participar en las elecciones si la sentencia en su contra no está EJECUTORIADA hasta antes de la inscripción oficial - prevista entre el 18 de septiembre y el 7 de octubre- de su candidatura en el Consejo Nacional Electoral (CNE).

Sin embargo, debido a los reglamentos que exigen oficialmente una inscripción personal, Correa deberá viajar a Quito, a la matriz del CNE, por lo que podría ser detenido al existir una orden de prisión preventiva en su contra por el caso del secuestro de Fernando Balda en Bogotá, en 2012.

El expresidente enfrenta una posible condena de ocho años de prisión por el delito de cohecho pasivo agravado en el denominado caso Sobornos 2012-2016, que se encuentra en etapa de casación -última revisión de cómo fue promulgada la sentencia- en la Corte Nacional de Justicia.

🔺Trayectoria de Andrés Arauz

En la función pública, Arauz fue asesor del Ministerio de Política Económica, subsecretario y viceministro del Ministerio de Inversión Pública, director del Servicio Nacional de Contratación Pública y ministro coordinador de Conocimiento y Talento Humano.

Esta y más información en primeraplanaec.wordpress.com

#actualidad #noticias #news #elecciones #elecciones2021 #elecciones2021Ecuador #binomios #RafaelCorrea #AndrésArauz #UNES #CentroDemocrático #FuerzaCompromisoSocial #políticaecuatorina",|,No data
2020-08-30T00:29:17.000Z,|,rantiturismocolaborativo,|,"🔴Cápsulas de Identidad - 👉Las verdades incomodan:
Provoca risa 😆 e indignación la pancarta electoral ✍que se alista para arremeter nuevamente contra la saqueada nación, demostrando como tantas veces cuál es la verdadera y más letal pandemia. Pero...¿quienes realmente colocan a los gobernantes?🗣, ¿Qué tipo de análisis emplea para decidir el ecuatoriano promedio?, ¿Cuánto usamos la lectura crítica/contraste de fuentes informativas? 📚🔎
Bolívar, en la época de la Gran Colombia (1822 - 1830), decía que nuestro pueblo, era inmaduro para escoger a sus gobernantes. ¿Valdría la pena en pleno siglo XXI preguntarnos si ya no lo es? 🤔

Sumidos en ignorancias y espejismos, en criterios sesgados; basados en lo que ""nos dicen"", en la idealización y el populismo, en shows de televisión📺 morbosos y amarillistas, en vicios alienantes, en todo lo que sea fácil de digerir; todo lo que vuelve a este país el escenario perfecto para la atrocidad del engaño y su cómplice impunidad. ¡El problema radica en nuestros hábitos de consumo! Estos definirán el futuro del Ecuador.🙄😮👀
.
.
.
#elecciones2021
#elecciones2021ecuador",|,No data
2020-12-28T15:24:11.000Z,|,radiospaziofm,|,"#SpazioNoticias
#Elecciones2021Ecuador Entre incertidumbres y descontentos la campaña electoral empieza el jueves 31 de diciembre de 2020 y hay más incertidumbre que certezas para el arranque de ese proceso.

Desde los partidos políticos hay preocupación por el cumplimiento del calendario, pues causa inquietud la no resolución de la participación del movimiento Justicia Social en la carrera presidencial, a pesar de que la Función Electoral ha ratificado que los comicios no serán postergados.
Otro ámbito que genera desazón en las organizaciones políticas es la aplicación del protocolo para la prevención del covid-19 durante la jornada proselitista.

Donde únicamente se aprobaron las caravanas y caminatas como parte de las actividades. En el protocolo, los 221 cantones de Ecuador fueron clasificados en tres categorías. En la categoría A se encuentran 20 municipios que tienen más de 100 000 electores, por ejemplo, Quito, Guayaquil y Manta. En esa categoría se podrán hacer caminatas de máximo 200 personas, con distanciamiento social y uso de mascarilla y gel antibacterial.
Fuente: El Comercio",|,No data
2020-08-20T19:21:14.000Z,|,primeraplanaec,|,"#ATENCIÓN Fabricio Correa Delgado se suma a la lista de precandidatos en busca del sillón de Carondelet.

Este jueves 20 de agosto el movimiento Justicia Social -lista 11- organizó su convención nacional donde declaró que aupará la precandidatura del hermano del expresidente Rafael Correa, quien hará dupla junto a Marcia Elizabeth Yazbek, presidenta de Mujeres por Ecuador y gerente general de Marketing Buró.

Justicia Social -cuyo líder es Jimmy Salazar, actual presidente del Colegio Nacional de Abogados, esposo de Pamela Martínez, ex asesora de Rafael Correa- es uno de los cuatro movimientos que enfrentan un proceso de suspensión en el Consejo Nacional Electoral (CNE) por presuntas anomalías en su inscripción.

#noticias #news #actualidad #política #Ecuador #precandidatos #elecciones2021 #elecciones2021Ecuador",|,No data
2020-10-11T15:50:04.000Z,|,bella.alonso,|,"Éstos son los peores políticos los #ruptura25, una de ellas es ministra del interior #mariapaularomo, secretario #juansebastianroldan y #mariaalejandravicuña vicepresidenta del #ecuador🇪🇨 Gobiernan con #elpeorgobiernodelahistoria #leninmoreno 😈",|,No data
2021-01-17T16:35:58.000Z,|,mejoremoslopublico.ec,|,"Un post que llama a la reflexión, no solo de los ciudadanos sino también de los políticos.
.
.
El debate oficial realizado por el @cnegobec nos pone a pensar lo siguiente.
.
.
¿Qué hemos hecho como País para merecer en un solo debate más de lo mismo?

16 candidatos demostrando que es imposible gobernar juntos.
.
.
16 candidatos que basado en el egoísmo es incapaz de aceptar la capacidad del otro.
.
.
16 candidatos con propuestas similares sin sustento con diferencias en números o porcentajes para ""solucionar los problemas"".
.
.
16 candidatos que hablan del ¿qué vamos hacer? pero no del ¿cómo lo vamos hacer?.
.
.
Candidatos que aprovechan su espacio de dos minutos para lanzar su frase de campaña, para responder cualquier cosa menos lo que le preguntan o para empezar a divagar y en pocos casos para contradecir y generar debate con algún otro candidato.
.
.
No hubo 1 hubieron 16 candidatos que no lograron convencer ni dejar claro nada y eso es realmente triste para nuestro País.
.
.
NOS MIENTEN EN LA CARA.
.
.
Aún se sigue hablando de inversión extranjera como si se tratará de una decisión de ellos poner la plata de una empresa internacional en el país, aún se habla de cambios radicales en las leyes como que si se tratará de ellos aprobar las leyes sin debate, otros piensan que disminuyendo el IVA va a subir la recaudación y al mismo tiempo también quieren eliminar el Impuesto a la salida de divisas, hablan de eliminar o limpiarte de la central de riesgos sin ningún sustento técnico solo porque alguien en la calle te lo pide, algunos candidatos viven congelados en el pasado, otros te quieren comprar el voto y hablan de eliminar instituciones públicas sin pensar en la gente de esas instituciones.
.
.
Nadie habló de una planificación estratégica real basada en datos técnicos sin mentiras y progresiva en el tiempo para en 4 años comenzar por un camino diferente.

TENER TANTA MIERDA ES CULPA NUESTRA.

Alguien lo tenía que decir y que bueno que fuimos nosotros.

#Mejoremoslopúblico #tusideascuentan #guayaquil #babahoyo #coronavirus #clases #ciudadanosprotagonistas #jóvenesprotagonistas #diciembre #enero #elecciones #elecciones2021ecuador #elecciones2021ec #ecuador🇪🇨",|,No data
