source,target
kamaradaDavid,AlmacenesPycca
kamaradaDavid,bosscec
kamaradaDavid,mcastropatio
kamaradaDavid,lgrobalino
kamaradaDavid,AlmacenesPycca
kamaradaDavid,AlmacenesPycca
kamaradaDavid,csr_costa
kamaradaDavid,Evyrca
kamaradaDavid,RuthdelSalto
kamaradaDavid,MashiRafael
kamaradaDavid,AlvearCarlos
kamaradaDavid,Martinminguchi
kamaradaDavid,ecuarauz
Marckittox,LucioGutierrez3
Marckittox,AlmaMiaEcu
Marckittox,soleangusfr
Marckittox,LucioGutierrez3
Marckittox,ecuarauz
Marckittox,ecuarauz
Marckittox,ecuarauz
fabian1_of,ecuavisa
fabian1_of,tctelevision
fabian1_of,teleamazonasec
fabian1_of,Gamavisionecu
fabian1_of,MashiRafael
Fresitaa_27,ecuarauz
Fresitaa_27,MashiRafael
Fresitaa_27,LassoSX
Fresitaa_27,ajungbluth
chapuleroes,AlmaMiaEcu
chapuleroes,figuer_jef
chapuleroes,ramiroaguilart
chapuleroes,GinaMariaJimen2
chapuleroes,FernandoCasadoG
chapuleroes,ecuarauz
chapuleroes,RonSangines
chapuleroes,RutaKritica
chapuleroes,LassoGuillermo
chapuleroes,ramiroaguilart
chapuleroes,fabriciovelav
chapuleroes,TMT30_
chapuleroes,literatango
chapuleroes,CrisRoseroR
chapuleroes,alexismoncayo
chapuleroes,JacoboG_Ecu
sebas_melendrez,EReinosoN
sebas_melendrez,malulyoliva
IgualdadYa1,consuemary
Alberto14266132,parischiquitoo
Alberto14266132,marcelaguinaga
Alberto14266132,sur_gente
Alberto14266132,SurGenteGuayas
Alberto14266132,LeoBerrezueta
Alberto14266132,PepeGalvezEC
Alberto14266132,MashiRafael
Alberto14266132,marcelaholguin
Alberto14266132,ecuarauz
Alberto14266132,MashiRafael
Alberto14266132,rabascallcarlos
Alberto14266132,nelsonesteban76
Alberto14266132,ecuarauz
Alberto14266132,PatriaLibreEc
Alberto14266132,MashiRafael
Alberto14266132,PovedaBriones
Alberto14266132,ecuarauz
Alberto14266132,pierinaescorrea
Alberto14266132,marcelaholguin
Alberto14266132,LuisaGonzalezEc
Alberto14266132,SofiaEspinRC
ericka20milla,jcarlosaizprua
ichbinAC,ecuarauz
AleDeMora7615,ECU911Machala1
theomorales,salva8915
theomorales,Douglas70888444
theomorales,EmelecAmorAzul
Drjuanca,PichinchaEnVivo
Drjuanca,pichinchauniver
Drjuanca,ecuarauz
Drjuanca,ecuarauz
Drjuanca,xhervas
Drjuanca,LassoGuillermo
Mateoartiu,sebasmerizalde_
JorgeRojasCr,AmintaBuenanio
JorgeRojasCr,Roberto24695034
JorgeRojasCr,XimenaPena1
JorgeRojasCr,Lenin
JorgeRojasCr,LassoGuillermo
JorgeRojasCr,BancoGuayaquil
