texto,url-post
"Photo by Cima360 on January 24, 2021. No hay ninguna descripción de la foto disponible..",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/c101.0.408.408a/141436820_739572010001414_8604440794708714789_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=BWEmTfiyGDgAX9GxMZT&tp=1&oh=8dd4cb33ae24f05a41f970e7c07946a2&oe=6037D31A
"Photo by Globovisión on January 24, 2021. La imagen puede contener: texto que dice ""cTe AN convocó postulaciones al Comité que elegirá candidatos al Poder Electoral ON.COM 2 -"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e15/s640x640/141015337_180877950456126_604567285757591942_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=sReiw36PiRwAX_i9L2e&tp=1&oh=ece11de622d5ef58d0812af623010b27&oe=6037E7F1
"SIMULACRO DEL CNE INCLUYÓ ACCIONES FRENTE A POSIBLE TOMA DE DELEGACIÓN O RECINTO ELECTORAL

A diferencia de la elecciones pasadas, esta vez el Consejo Nacional Electoral (CNE) implementó un simulacro para medir la respuesta en caso de incidentes y toma de delegación provincial o de un recinto electoral.

Militares y grupos especializados de la Policía Nacional participaron de un ejercicio en el que simpatizantes de organizaciones políticas intentaban llevarse las urnas de los recintos y las actas de la delegación provincial.

Texto: @emiliasanchezec 
Video: @orellana_72 

#RevistaCaskabel #Política #CNE #SimulacroElectoralEc #Guayaquil #Guayas #Ecuador",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e15/142406553_161553292181636_8575427387961841436_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=zzX91rRH8uAAX9gHsgK&tp=1&oh=68994cc0980a68492313fc8e010c7e3b&oe=60107E96
"Photo by El Periódico De Monagas on January 24, 2021. La imagen puede contener: 5 personas, personas en el escenario, texto que dice ""POLITÍCA ep DEMONAGAS Presidente Nicolás Maduro anunció elección de un nuevo CNE este año wwW elperiodicodemonagas.com.ve"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/142827235_456927165499347_8894760633078966133_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=2cae4HqCi48AX-CZMQE&tp=1&oh=009fda6dc5bfbe7b34763973ce02fc8b&oe=60363F46
"Photo by La Posta on January 24, 2021. La imagen puede contener: 4 personas, texto que dice ""¿Los choros también pueden votar? Por supuesto que no. Ninguna persona con sentencia ejecutoriada lo puede hacer, ya que estas perdieron sus derechos ciudadanos y políticos. Pero con el CNE todo es posible, así que te presentamos la lista de los sentenciados en el caso Sobornos que consta en el padrón electoral. laPosta®"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/142108204_686429901990991_889994740586410536_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=41xdtu2q7tYAX-JuHLq&tp=1&oh=a86514e4564c4716268f587db64f4ef3&oe=6036774D
"Photo by Las Primicias de Augusto M. on January 24, 2021. La imagen puede contener: una o varias personas y exterior, texto que dice ""PRIMICIAS Augusteh edina Maduro: AN y CNE deciden si vamos a mega elección @Las_Primicias f LasPrimiciasDeAugustoMedina @Las_Primicias"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141815036_168057364747879_6929628509977498600_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=PEHyuSvVOygAX9nlTii&tp=1&oh=3ef29c5b426f2d4ec3d231805fb4758b&oe=603696D3
"Photo by La Posta on January 24, 2021. La imagen puede contener: texto que dice ""1 Las papeletas para presi y vicepresidente estarían ready hoy La noticia la reveló Diana Atamaint, presidenta del CNE, durante el segundo simulacro electoral. Además, dijo que hoy se probarán los sistemas tecnológicos para el día de las votaciones. Échale un ojo a estas y otras novedades de cara a las elecciones de febrero. la osta®"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141188680_1080592782347462_4394346692132081893_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=N9s6WdrjEToAX9Mq2Ie&tp=1&oh=3a73d5cab16d784d2c2ad6237cfda47b&oe=60386A79
"Photo by Clã XVI on January 24, 2021. La imagen puede contener: interior.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/141988110_1864142680409141_3308634324630365254_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=0bFnOBCOrMcAX-LRbTx&tp=1&oh=df58b4112c22c07e1f9a227e7fa8ea1d&oe=60396763
"Photo by Clã XVI on January 24, 2021. La imagen puede contener: 8 personas.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/142624797_238496681096274_8296146286797038454_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=UU5nS3RY2GgAX8LMjfG&tp=1&oh=74be132272195a753044590484b17d5c&oe=60365DD3
"Photo by RNV INFORMATIVA on January 24, 2021. La imagen puede contener: una o varias personas y exterior.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/c177.0.445.445a/141337809_442810240422751_7580011818584915439_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=5MAxBqwK7KgAX-epbNs&tp=1&oh=278c550b50c7e6fd90127bb26ed1915e&oe=6038DEB7
"Photo by Diario do Distrito on January 24, 2021. No hay ninguna descripción de la foto disponible..",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/c131.0.506.506a/141581081_113764533982346_2824781323158709103_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=cya9ZuNPLzcAX_vwN4Q&tp=1&oh=73cbb1c0036d46fb3aee037ab3e0c347&oe=60389C63
"Photo by Fuerza Aérea Ecuatoriana on January 24, 2021. La imagen puede contener: una o varias personas.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e15/c236.0.608.608a/141907755_465820424584060_7907058052206452701_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=SLPzUAS06LAAX8kWOoX&tp=1&oh=66d0c56c221d641aefddbd294f9709e3&oe=60373906
"⭕ #CNE REALIZA SIMULACRO PARA ELECCIONES‼👀

En Guayaquil inicia el simulacro de la sesión permanente de escrutinio del 7 de febrero de 2021.

Para este simulacro se activaron 534 recintos electorales, de los cuales 518 son CDA (centro de Digitalización de Escrutinio), que procesarán las actas de la provincia del Guayas.

Este simulacro incluye un ensayo para reaccionar ante una posible toma de la delegación provincial electoral. 

Todo esto al mismo tiempo en el que se escrutan las actas para garantizar el proceso electoral.

Solo dos representantes de cada tienda política podrán estar durante la sesión de escrutinio.

@revistacaskabel 
Texto: @emiliasanchezec
Fotos: @orellana_72

#RevistaCaskabel #Política #Elecciones2021 #elecciones2021ec #Guayaquil #Guayas #Ecuador",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/141156032_911357939638397_5629944476152338711_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=nYDcbMpOjtcAX-ea-Jp&tp=1&oh=60c8c23d09488411735013abb4296855&oe=60108B57
