Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
lucioamigo2021,,,18,0.123731,0.165049,0,3,1,1,2
JulioAl13129623,,,15,0.143758,0.181098,0,4,0,4,4
shalo_c,,,1,1,1,0,112,0,1,1
enc3000,,,22,0.086158,0.104355,0,26,0,2,2
PabloEm03875281,,,1,1,1,0,4,0,1,1
jeanCflecher,,,16,0.139484,0.176619,0,4,0,2,2
Alaja89952855,,,1,1,1,0,169,0,1,1
FlakissGuevara,,,0,0,0,0,169,2,0,2
samyveintimilla,,,18,0.114681,0.139805,0,181,0,3,3
Chriseduand,,,16,0.145829,0.196039,0,4,0,9,9
lili_mr_3008,,,2,0.8,0.875,90.617857,4,12,3,15
jorgejhorlfl,,,22,0.088846,0.108326,0,9,0,1,1
MauricioBCGsm,,,16,0.147856,0.199047,0,7,0,4,4
btoperezb,,,17,0.106564,0.124252,0,4,0,2,2
Paul018Chris,,,1,1,1,0,112,0,1,1
libertaddeidea1,,,13,0.169096,0.224104,0,4,0,13,13
MVLoG,,,1,1,1,0,169,0,1,1
SandraMace5,,,1,1,1,0,137,0,1,1
fsalvati1406,,,14,0.166103,0.221733,0,4,0,7,7
AOBaquEc,,,1,1,1,0,4,0,1,1
vanadxo,,,21,0.097157,0.122229,0,181,0,3,3
noesvalentina,,,1,1,1,0,121,0,1,1
UnPocoGris1,,,17,0.117344,0.137631,0,112,0,1,1
NiloHidalgo8,,,2,0.666667,0.75,0,3,0,1,1
angelinevs94,,,17,0.117561,0.139909,0,26,0,2,2
nikolmontezam,,,21,0.097271,0.121542,0,7,0,1,1
MarcoSa89792793,,,1,1,1,0,4,0,1,1
Juanky_Vallejo,,,13,0.165117,0.216878,0,27,0,16,16
henryfernandofl,,,16,0.138847,0.176465,0,4,0,2,2
Zero482,,,17,0.125244,0.163971,0,112,0,12,12
bydennisse,,,0,0,0,0,181,6,0,6
FrancisAspiazu,,,1,1,1,0,27,0,1,1
jisabelgs,,,15,0.142602,0.176474,0,112,0,4,4
Carlos_Granja_M,,,0,0,0,0,112,1,0,1
Caluse_17,,,1,1,1,0,7,0,1,1
tmlnxsun,,,18,0.126786,0.186419,0,7,0,7,7
cordova_arauz,,,2,0.666667,0.75,1709.891813,7,4,2,6
LuisGar00074401,,,1,1,1,0,4,0,1,1
ecuavrgs,,,2,0.666667,0.75,0,181,0,1,1
AlexRoj26695748,,,1,1,1,0,4,0,1,1
miguelmorochop,,,14,0.159395,0.203503,0,4,0,9,9
CayWashington,,,16,0.140532,0.183311,5.35119,4,1,5,6
RivadeneiraVe,,,14,0.175549,0.266154,0,4,0,35,35
CocTitanes1,,,18,0.097898,0.110408,0,4,0,2,2
Gladiador2111,,,1,1,1,0,26,0,3,3
Mashik35,,,13,0.183592,0.24772,0,4,0,12,12
_BlasSS_,,,14,0.155063,0.194157,1461.821276,4,4,7,11
mikecardenas22,,,21,0.10517,0.138037,0,7,0,2,2
Andypzvi,,,19,0.120862,0.17146,0,7,0,3,3
IGcoellar,,,13,0.170634,0.229418,0,4,0,15,15
lainezch,,,15,0.139698,0.185963,0,4,0,10,10
XaviSanz32,,,15,0.133977,0.162047,0,4,0,1,1
josalex4,,,1,1,1,0,4,0,1,1
JonCR90,,,16,0.124658,0.153401,0,4,0,3,3
VladimirCaiced3,,,15,0.162341,0.225978,0,4,0,15,15
traponegro1,,,1,1,1,0,4,0,1,1
marioso_yogoso,,,3,0.5,0.583333,0,181,0,1,1
Sebitazcaiza,,,1,1,1,0,112,0,1,1
JohnJonny1,,,22,0.087081,0.113641,0,27,0,7,7
VERAZ_TWIT,,,0,0,0,0,27,2,0,2
dwalo,,,22,0.086037,0.10393,0,181,0,3,3
Luis51254564,,,0,0,0,0,181,9,0,9
Cinthiamyepez,,,1,1,1,0,181,0,1,1
kareninna_uio,,,2,0.666667,0.75,0,181,0,1,1
DiegoLovato,,,21,0.093962,0.117736,0,3,0,3,3
15Jfco,,,1,1,1,0,181,0,1,1
patriciomorenoe,,,14,0.180818,0.251187,0,4,0,18,18
edisony91,,,0,0,0,0,4,1,0,1
Gabrielavallej,,,1,1,1,0,181,0,1,1
veronika0127,,,2,0.666667,0.75,0,181,0,1,1
ericka_loor,,,1,1,1,2,181,2,1,3
_marcelasarahi,,,22,0.095411,0.118878,0,181,0,1,1
janaythrojas,,,20,0.113741,0.150322,0,26,0,1,1
anitals2009,,,1,1,1,0,112,0,1,1
mingyuhttps,,,19,0.119655,0.168464,0,181,0,2,2
HeliOrtiz2,,,19,0.119992,0.173323,109.840152,7,1,5,6
p_legancemodels,,,15,0.151551,0.198199,0,4,0,8,8
jesiahmv,,,21,0.1063,0.148077,0,181,0,8,8
HenryBerrezuet8,,,19,0.120181,0.175217,0,26,0,7,7
Ghost_libre,,,13,0.190279,0.278669,0,4,0,32,32
PesantesVelez,,,0,0,0,0,4,1,0,1
jormendoza1,,,0,0,0,0,4,2,0,2
ElJorgeBsc,,,17,0.132957,0.172754,0,27,0,9,9
iExplorerEc,,,0,0,0,0,181,64,0,64
oevaldezm,,,17,0.129645,0.170269,0,7,0,9,9
CordovaRC2,,,1,1,1,0,112,0,1,1
UnJuristaEc,,,2,0.666667,0.75,0,26,0,1,1
FrancoMolestina,,,1,1,1,1,26,1,1,2
cma1810,,,12,0.24786,0.368941,0,4,0,65,65
cav_beto,,,13,0.254346,0.428688,608.065385,4,2,130,132
BET0j11,,,14,0.152252,0.195783,693.166667,4,4,5,9
ppepin58,,,0,0,0,0,4,2,0,2
AndresDuranEc,,,0,0,0,0,4,1,0,1
Paul_Ae98,,,1,1,1,0,7,0,1,1
luialbesp,,,21,0.104951,0.13662,0,181,0,1,1
Viniceo,,,0,0,0,0,7,2,0,2
SenoraCatolica,,,0,0,0,0,7,1,0,1
PaktaEC,,,0,0,0,0,7,1,0,1
cedhu,,,0,0,0,0,7,1,0,1
OrgulloLGBT,,,0,0,0,0,7,1,0,1
Evelyn06Maria,,,17,0.117506,0.138981,0,112,0,2,2
sebascastro20,,,0,0,0,0,7,4,0,4
LXaviermayorga,,,1,1,1,0,4,0,2,2
saluazavala,,,1,1,1,0,7,0,1,1
lalineadefuego,,,19,0.120226,0.177616,868.205556,26,2,10,12
isspolec,,,0,0,0,0,3,2,0,2
macanrol,,,17,0.130684,0.167123,0,26,0,4,4
JPatriaRenovada,,,1,1,1,0,4,0,3,3
CoronelIsrael,,,0,0,0,0,4,1,0,1
maferchang,,,21,0.093962,0.117736,0,3,0,3,3
hidalgo_antony,,,1,1,1,0,27,0,1,1
UChinchipe,,,1,1,1,0,4,0,1,1
Christopher_p,,,0,0,0,0,7,1,0,1
amarilism56,,,16,0.119097,0.145105,0,4,0,5,5
DurangoMayleen,,,1,1,1,0,112,0,1,1
liveonce1996,,,18,0.128087,0.184467,0,7,0,6,6
PortillaGladys,,,14,0.159471,0.208193,0,4,0,10,10
jvaleroc,,,19,0.120068,0.176025,637,9,1,9,10
TussaudsOrlando,,,0,0,0,0,9,1,0,1
ecuadoratipico,,,22,0.088846,0.108326,0,9,0,1,1
kawsayecologico,,,2,0.777778,0.857143,0,29,0,5,5
biakolini,,,0,0,0,0,181,10,0,10
rulielectric,,,15,0.134912,0.171347,0,4,0,6,6
Nando_Lix,,,19,0.121069,0.179244,0,112,0,5,5
PabloZambrano_M,,,22,0.095709,0.123817,0,181,0,6,6
pgarciaa91,,,1,1,1,0,4,0,2,2
EduardoEnrque11,,,16,0.121224,0.142593,0,4,0,1,1
johnojedach47,,,18,0.127066,0.175455,1583.162639,7,2,3,5
BenAffleck,,,0,0,0,0,181,2,0,2
Rossyfloril,,,16,0.125737,0.168457,0,4,0,10,10
PaulGar56081159,,,1,1,1,0,4,0,1,1
Danilo99loaiza,,,1,1,1,0,27,0,1,1
antibanqueroshp,,,5,0.392857,0.533333,0,27,0,3,3
Gusmiranda,,,1,1,1,0,27,0,1,1
xerazo90,,,2,0.6,0.666667,0,7,0,1,1
cisne_1990,,,16,0.179783,0.26326,0,2,0,30,30
guamantalex,,,20,0.107589,0.144203,1286.97619,2,4,4,8
milton_Leandro7,,,16,0.118985,0.141709,0,2,1,1,2
TheSheriff88,,,23,0.080631,0.103661,666.083333,2,3,5,8
caridianniama,,,0,0,0,0,2,2,0,2
TibanYanez,,,0,0,0,0,2,1,0,1
AccinLibertari1,,,17,0.118704,0.152321,8.416667,2,1,12,13
luisfa093,,,0,0,0,0,2,1,0,1
Anthony06144212,,,0,0,0,0,2,6,0,6
dejame_joder,,,22,0.096289,0.124949,7.333333,181,1,5,6
MonykaVT,,,0,0,0,0,2,1,0,1
marcelodelpozo,,,0,0,0,0,2,2,0,2
die_scarecrow,,,0,0,0,0,2,1,0,1
Miguel00567,,,1,1,1,0,170,0,1,1
marcos_xavico,,,0,0,0,0,170,1,0,1
danielgm87,,,20,0.107827,0.144706,0,9,0,4,4
ricardotope,,,1,1,1,0,9,2,1,3
EGuzmanurresta,,,1,1,1,0,4,3,1,4
JessAlf08249615,,,16,0.133083,0.16565,0,4,0,4,4
jepamerican,,,14,0.168465,0.231221,0,4,0,14,14
EddiChonero1,,,1,1,1,10.5,4,7,3,10
fernando_abadT,,,2,0.666667,0.75,0,181,0,1,1
wcorreafarez,,,1,1,1,0,112,0,1,1
SalasWW76,,,15,0.144374,0.189508,0,4,0,12,12
er_villamars,,,19,0.114934,0.154581,0,112,0,1,1
shiningbrisa,,,0,0,0,0,7,1,0,1
medicenjuansee,,,19,0.11952,0.166897,0,7,3,1,4
MerBar7LV,,,1,1,1,0,112,0,4,4
chiguijaecuador,,,15,0.166928,0.234131,0,4,0,11,11
juliojuarez_8,,,1,1,1,0,4,0,1,1
FiveHorta,,,1,1,1,0,26,0,1,1
Monapaty77,,,13,0.191704,0.26051,0,4,0,22,22
DavidAndres27,,,0,0,0,0,4,1,0,1
UNESimbabura,,,0,0,0,0,4,2,0,2
SalOchoa17,,,17,0.112524,0.153468,331757.026958,176,17,9,26
n_cornejoEC,,,2,0.666667,0.75,0,26,0,1,1
iguchamin11,,,13,0.188474,0.287024,0,4,0,38,38
yellowsubmrine,,,18,0.128747,0.188292,0,7,0,8,8
YazminOrtizRang,,,3,0.580645,0.731481,0,181,0,10,10
angissmb,,,0,0,0,0,27,2,0,2
Andrek_ch,,,0,0,0,0,181,1,0,1
JuanKarlosG8,,,0,0,0,0,181,1,0,1
karipapo,,,3,0.541667,0.628205,0,4,0,4,4
PedroPalmaEc,,,21,0.093778,0.114776,0,7,0,2,2
miguel2456_b,,,14,0.161087,0.214431,0,4,0,14,14
Ramiroyepezg,,,14,0.157882,0.194167,0,26,1,2,3
jonan92delgado,,,2,0.666667,0.75,0,181,0,1,1
Liliana61275648,,,17,0.117506,0.138981,0,181,0,2,2
Samy7883,,,19,0.119588,0.168072,0,181,1,2,3
Jhovany77,,,1,1,1,0,4,0,1,1
Fer_2407,,,18,0.127791,0.180181,0,7,0,6,6
sthalin728,,,1,1,1,0,4,0,1,1
wilbec67,,,15,0.137242,0.163962,0,3,0,2,2
pdc_nahomi,,,21,0.093645,0.113388,0,7,0,1,1
darwin_tello,,,1,1,1,0,27,0,2,2
Alisson_uwu15,,,19,0.11961,0.168464,0,7,0,2,2
marcetorrespaz,,,15,0.168342,0.221282,69.966287,4,1,9,10
Xavierl45104710,,,17,0.133835,0.174189,0,4,0,5,5
FabianBurban,,,0,0,0,0,4,5,0,5
Edith1105,,,20,0.107173,0.139474,0,7,0,1,1
MotoMot39750080,,,16,0.140374,0.182587,637,4,1,5,6
davidsnra,,,19,0.116679,0.154227,0,7,0,2,2
GioZG10,,,2,0.666667,0.75,0,181,0,1,1
waubas,,,19,0.12,0.171188,0,7,0,4,4
lebruje8,,,1,1,1,0,2,0,1,1
Erikaqr1995,,,18,0.135007,0.210056,0,9,0,18,18
Tik_Tokers_,,,0,0,0,0,9,1,0,1
pedro_freile,,,0,0,0,0,7,3,0,3
soraya_july,,,20,0.116135,0.163355,0,27,0,8,8
Ecuadorllora,,,1,1,1,0,4,0,1,1
carlitostamayo,,,14,0.159114,0.205556,0,4,0,7,7
AtencionEC,,,1,1,1,0,4,4,1,5
pjvictorhugo,,,17,0.16125,0.2343,0,7,0,14,14
CrisFlopu,,,17,0.137074,0.187285,151.628571,7,2,4,6
valiente_srta,,,22,0.089056,0.110965,0,9,0,3,3
Chvit5,,,20,0.106868,0.138038,0,7,0,2,2
MelendrezOlger,,,1,1,1,0,4,0,2,2
Alberto38459991,,,16,0.139545,0.178187,0,4,0,4,4
cajas_emely,,,21,0.093645,0.113388,0,7,0,1,1
mariocuvi,,,16,0.125334,0.149856,652,29,1,3,4
magusreyes,,,23,0.079383,0.09413,0,27,0,2,2
krita8a,,,1,1,1,0,2,0,1,1
Samm_Stephanie,,,19,0.11997,0.170498,0,7,0,2,2
Sr_LoboMalo,,,0,0,0,0,112,1,0,1
diegomelop,,,0,0,0,0,112,2,0,2
chulitay,,,1,1,1,9.333333,27,9,1,10
fragafriega1,,,23,0.079304,0.092737,1287,112,5,1,6
cluvidia,,,0,0,0,0,27,3,0,3
malava1002,,,1,1,1,1,112,2,1,3
TabataAlvarado,,,0,0,0,0,112,1,0,1
ecaleonard,,,14,0.184203,0.261398,0,4,0,22,22
angycien,,,20,0.105672,0.135965,0,7,0,3,3
rolandofloresNT,,,14,0.145277,0.203133,0,181,0,22,22
MinGobiernoEc,,,0,0,0,0,181,1,0,1
Ciclopec21,,,16,0.129064,0.184995,1090.493343,181,2,12,14
Dayana10810539,,,0,0,0,0,181,1,0,1
geanmurillo,,,0,0,0,0,181,1,0,1
willtorres_tkd,,,17,0.135716,0.177402,196.531699,181,1,2,3
MeraZambrano_,,,19,0.11636,0.162982,0,7,0,4,4
kevinbsc911,,,1,1,1,0,121,0,1,1
didier_vasquezc,,,19,0.11952,0.166897,0,7,0,1,1
JulioCa39701058,,,1,1,1,0,181,0,1,1
_Azul_forever,,,2,0.6,0.666667,0,27,0,1,1
efnv94,,,19,0.119835,0.17058,0,7,0,3,3
sn0wflakequeen,,,14,0.166477,0.208636,0,27,0,2,2
marysusana54,,,1,1,1,0,167,0,1,1
LAsynjur,,,21,0.104985,0.137637,0,181,0,2,2
Gaby_RTo,,,1,1,1,0,181,0,1,1
Carlosignacioz5,,,22,0.085972,0.102624,0,7,0,1,1
unapauulina,,,23,0.07928,0.092179,646.833333,7,3,1,4
AnthOniiAFR,,,22,0.086095,0.104028,1281.833333,7,1,2,3
Ricardoandre92,,,14,0.154704,0.190247,0,4,0,4,4
arturo_precilla,,,1,1,1,0,112,0,1,1
sagantor,,,1,1,1,0,181,0,1,1
Ecuadorprogres1,,,16,0.139484,0.176619,0,4,0,2,2
estebanchochave,,,19,0.11952,0.166897,0,7,0,1,1
mariajose_1D69,,,22,0.095542,0.120217,0,181,0,2,2
herjeremy,,,21,0.093645,0.113388,0,7,0,1,1
EmiliaRoss18,,,2,0.666667,0.75,0,181,0,1,1
robertoyg,,,13,0.195189,0.286167,0,4,0,34,34
YohnelRamirez,,,17,0.114407,0.148451,0,27,0,12,12
SergioJMazure,,,0,0,0,0,112,9,0,9
prometeo84,,,1,1,1,0,112,0,2,2
ceider_zambrano,,,2,0.6,0.666667,0,29,0,1,1
jal1849,,,19,0.116355,0.167128,0,27,0,10,10
rodrigar64,,,18,0.116237,0.146511,174.442857,27,2,5,7
Albano86,,,20,0.113902,0.152288,0,26,0,2,2
danielcalldu23,,,2,0.666667,0.75,0,4,0,1,1
Fervic7,,,1,1,1,0,181,0,1,1
conlago_m,,,13,0.196621,0.301424,0,4,0,49,49
DayannaBelench,,,1,1,1,0,4,1,3,4
cisne_cis,,,19,0.117669,0.160236,0,7,0,3,3
yesmgallegos,,,19,0.115162,0.157663,0,7,0,3,3
kmberlyguerrero,,,18,0.128922,0.192314,0,7,0,11,11
toyoverdugosilv,,,1,1,1,15,26,8,1,9
AJacomePsi,,,3,0.5,0.633333,0,27,0,2,2
dontletthemhurt,,,18,0.128629,0.186051,0,7,0,7,7
Sandrita____,,,18,0.123127,0.166904,0,3,0,9,9
shantacruz23,,,2,0.666667,0.75,0,3,17,1,18
WilsonCela,,,19,0.114934,0.154581,0,112,0,1,1
MateoNavas15,,,20,0.107173,0.139474,0,7,0,1,1
TenetaJuan,,,1,1,1,0,4,0,1,1
gladysc09617494,,,2,0.625,0.7,0,4,0,2,2
jbitsmine_,,,18,0.127473,0.180026,0,7,0,7,7
oOStevanOo,,,1,1,1,0,7,0,1,1
angieguayaquil,,,19,0.11952,0.166897,0,7,0,1,1
hectormirand,,,16,0.156891,0.227828,0,4,0,17,17
LaKolmenaEC,,,0,0,0,0,4,1,0,1
radii,,,0,0,0,0,4,1,0,1
lapizarraOK,,,0,0,0,0,4,1,0,1
lakaryguerrero,,,1,1,1,0,181,0,2,2
ROSARosa22121,,,21,0.093962,0.117736,0,3,0,3,3
kikevertientes,,,15,0.134231,0.164163,0,7,0,2,2
DRFAE,,,1,1,1,0,112,0,4,4
ecuciudadana,,,3,0.666667,0.805556,0,181,0,4,4
santacruzsandry,,,16,0.139484,0.176619,0,4,0,2,2
Ver_Zatil,,,3,0.5,0.611111,9,181,3,1,4
ackermanssa,,,1,1,1,0,181,0,2,2
fefe9_,,,21,0.096605,0.119788,0,181,0,1,1
PaulinaSantn1,,,1,1,1,0,121,0,1,1
emiliovh,,,1,1,1,0,4,0,1,1
ELBARTOBSC,,,17,0.117506,0.138981,0,181,0,2,2
natgeovanny,,,1,1,1,0,4,0,1,1
pxdesiderio,,,1,1,1,0,181,0,2,2
noelia_ecuador,,,20,0.107065,0.138847,0,7,0,1,1
MabeAlvarezL,,,17,0.117994,0.142341,0,26,0,3,3
jrrgabriell,,,19,0.11952,0.166897,0,7,0,1,1
ECPoliti,,,18,0.112482,0.135256,0,7,0,1,1
AbgAstudillo,,,2,0.666667,0.75,0,9,0,1,1
jorgeisaac007,,,1,1,1,17.288889,9,7,1,8
cearthbat,,,19,0.11952,0.166897,0,7,0,1,1
danitorres1965,,,21,0.093645,0.113388,0,7,0,1,1
AricruzPB,,,19,0.11952,0.166897,0,7,0,1,1
JorgeGustavoAs2,,,16,0.121224,0.142593,0,4,0,1,1
JulioLaz1,,,21,0.09391,0.116159,0,7,0,3,3
lzambrano1,,,0,0,0,0,7,1,0,1
andrescherrezc,,,0,0,0,0,7,2,0,2
johedgallardo,,,14,0.165285,0.219306,0,4,0,6,6
ninibp13,,,1,1,1,0,181,0,1,1
ArteDigitalEC,,,19,0.119588,0.168072,0,7,0,2,2
csrnmonster74,,,17,0.141507,0.197353,0,9,0,13,13
pedro_chara,,,15,0.135661,0.178631,0,4,0,13,13
soyvictoryanez,,,12,0.192758,0.250415,0,112,0,15,15
jadonosoq,,,0,0,0,0,112,1,0,1
andreheads96,,,11,0.200781,0.24938,4073.85,181,4,14,18
monkeber1,,,1,1,1,0,181,0,2,2
indiraaabm,,,18,0.131472,0.203506,0,7,0,14,14
_AstridCabrera_,,,19,0.118897,0.167522,2702.82665,7,10,6,16
PaaulaRosero96,,,1,1,1,0,7,1,1,2
federojitas,,,1,1,1,0,4,0,1,1
Extranjero007,,,2,0.857143,0.916667,0,4,0,5,5
LizbethMorenoA,,,19,0.112223,0.145872,0,7,0,5,5
Christi10667834,,,1,1,1,0,4,0,1,1
Carlos_AriasEC,,,16,0.119119,0.143052,0,26,0,2,2
karenisabelM,,,17,0.139874,0.212485,0,7,0,17,17
guschiribogam,,,0,0,0,0,7,1,0,1
RAMIREZJAVIER20,,,18,0.117344,0.150948,0,3,0,1,1
marpernett,,,21,0.093645,0.113388,0,7,0,1,1
perezaviles,,,18,0.125738,0.172391,0,181,0,7,7
andres_guaicha,,,1,1,1,0,181,1,1,2
Kari_ASN,,,1,1,1,0,7,0,1,1
Michell67284240,,,20,0.107413,0.138708,0,7,0,1,1
MarcoBLauraM1,,,19,0.120151,0.170008,1917.545455,7,4,2,6
Miltonv37976357,,,13,0.172191,0.233361,0,4,0,17,17
jlzgenovez,,,0,0,0,0,4,5,0,5
TuPaisanoJK,,,1,1,1,0,168,0,1,1
seejaycuervo,,,21,0.096145,0.131171,0,9,0,9,9
Pirata_Gourmet,,,21,0.093962,0.117736,0,3,0,3,3
JoseCantosBSC,,,2,0.6,0.666667,0,9,0,1,1
VicenteOrtizC1,,,2,0.6,0.666667,0,29,0,1,1
PabloMenaD1,,,2,0.6,0.666667,0,29,0,1,1
confusiondj,,,21,0.099016,0.127537,0,2,0,1,1
Maryg300Teresa,,,16,0.144734,0.194471,0,4,0,10,10
Or85Francis,,,2,0.6,0.666667,0,29,0,1,1
FFLORESV,,,1,1,1,0,112,0,1,1
HugoEspinozaE1,,,2,0.6,0.666667,0,29,0,1,1
AndrsVegaDaz1,,,16,0.126755,0.158562,0,26,0,6,6
fertorresd1,,,2,0.6,0.666667,0,29,0,1,1
sonia_alcvar,,,13,0.170582,0.232737,0,4,0,19,19
ivettemacancela,,,14,0.158077,0.195848,27.766667,7,1,2,3
diegohuilca,,,1,1,1,0,112,0,1,1
C13213955CAnik,,,2,0.6,0.666667,0,27,0,1,1
ch_garzon,,,2,0.6,0.666667,0,29,0,1,1
datvidte,,,15,0.134486,0.166044,0,4,0,2,2
Omarsb7,,,2,0.666667,0.75,0,4,0,1,1
BelenTixilema,,,2,0.6,0.666667,0,29,0,1,1
kevintoledo_n,,,2,0.666667,0.75,0,181,0,1,1
AntoniConza,,,2,0.6,0.666667,0,29,0,1,1
Milena_SCh,,,21,0.094059,0.11946,0,3,0,4,4
aleja_quimbi,,,2,0.6,0.666667,0,29,0,1,1
Javier_E1974,,,1,1,1,0,4,0,1,1
ReyesMarc0,,,2,0.6,0.666667,0,29,0,1,1
BryanMarino17,,,2,0.666667,0.75,0,26,0,1,1
christianlarrea,,,21,0.096692,0.121121,0,181,0,2,2
MoodArtistas,,,20,0.107257,0.139776,0,7,0,2,2
johnnygavilanes,,,15,0.150047,0.196368,0,4,0,7,7
KarenPenafiel,,,1,1,1,0,121,0,1,1
el_gato_adn,,,18,0.12819,0.18465,0,7,0,6,6
derechodevia18,,,14,0.154479,0.18753,0,7,0,2,2
GiancarloTp_97,,,19,0.119655,0.168542,0,181,0,2,2
Juanjosegallarg,,,1,1,1,0,121,0,1,1
cisnerosfer,,,4,0.323529,0.386364,0,181,0,1,1
ivormaza,,,20,0.107173,0.139474,0,7,0,1,1
ggarciat3,,,1,1,1,0,7,0,1,1
VANESSANARVAEZ3,,,1,1,1,0,4,0,3,3
Jcarrv,,,1,1,1,0,112,0,1,1
AlvaroNoboa,,,0,0,0,0,26,1,0,1
miky_hadel,,,18,0.122406,0.162985,0,112,0,5,5
jccabrerita,,,13,0.170588,0.221292,0,4,0,7,7
dandel_nav,,,19,0.11961,0.168987,0,3,0,3,3
IvanVelasco2013,,,1,1,1,0,4,0,2,2
AlbanChapiro,,,1,1,1,0,7,0,1,1
Di_Bv,,,1,1,1,0,171,0,1,1
_carlosjimenezn,,,0,0,0,0,171,1,0,1
Fcopastore,,,2,0.6,0.666667,0,7,0,1,1
AndreaEspinosaV,,,1,1,1,0,112,0,3,3
goldn_daylight,,,18,0.129694,0.192564,0,7,0,8,8
sagbay_wilson,,,15,0.133977,0.162047,0,4,0,1,1
0MightAsWell0,,,14,0.22383,0.294205,753.141883,7,1,27,28
SebasWray,,,3,0.444444,0.541667,4,7,2,1,3
GabrielDS17,,,18,0.129248,0.16865,0,7,0,4,4
lalojimjuarez,,,19,0.12081,0.176521,0,112,0,3,3
Ylahtanahina,,,19,0.119722,0.169546,0,7,0,3,3
YamirZuniga,,,1,1,1,0,112,0,1,1
Shamele78037192,,,14,0.167839,0.235722,0,4,0,21,21
juan_edu_prez,,,16,0.119119,0.143799,0.5,4,1,3,4
alembertv,,,1,1,1,0,4,0,1,1
arkangelmetal,,,14,0.1558,0.1938,0,4,0,3,3
YvonneRoca,,,19,0.114112,0.148546,0,7,0,1,1
walkingemotixn,,,14,0.15692,0.199144,6268.011905,181,1,10,11
titoyepezliut,,,0,0,0,0,26,1,0,1
AndreinaFloo,,,15,0.14606,0.184087,47.161905,26,2,4,6
DaniloVilla_,,,15,0.142917,0.171323,0,26,2,2,4
PatoPazminoF,,,16,0.142443,0.194267,0,4,0,14,14
KatitaAnabelle,,,20,0.109545,0.160346,0,121,0,14,14
Myrkaromero_,,,0,0,0,0,121,2,0,2
nathy_romans,,,19,0.119925,0.170031,0,7,0,2,2
desirelopezm,,,21,0.093645,0.113388,0,7,0,1,1
CarlosTiin,,,3,0.5625,0.685185,0,112,0,4,4
anitabarrigac,,,19,0.116148,0.160187,0,7,0,2,2
milasanchez7795,,,19,0.11952,0.166897,0,7,0,1,1
GJivaja,,,14,0.174747,0.232901,0,4,0,9,9
Mr_Cruxxx,,,21,0.093962,0.117736,639.944444,56,1,3,4
Castillao_CA,,,2,0.666667,0.75,0,26,0,1,1
narvaez_julisa,,,2,0.666667,0.75,0,176,0,1,1
DannaGa41,,,1,1,1,7.5,176,4,1,5
mad_615,,,1,1,1,0,181,0,1,1
alejandroadum,,,1,1,1,0,137,0,1,1
luisterneus,,,17,0.133265,0.184928,0,26,0,11,11
MaxTVonline_EC,,,1,1,1,255,137,6,7,13
alanjosue88,,,1,1,1,0,181,0,1,1
CarlAlbertT,,,19,0.121046,0.17987,0,7,0,8,8
Douglasmonster_,,,19,0.119632,0.16977,0.5,7,1,4,5
1184kelvin3,,,20,0.108552,0.146372,0,181,0,4,4
AlexMoranRN,,,19,0.11952,0.166897,0,7,0,1,1
angelesquiroga,,,14,0.154497,0.188828,0,4,0,4,4
Chinis1808,,,1,1,1,0,112,0,1,1
He_Vuelto_,,,1,1,1,0,181,0,2,2
bscporla17,,,22,0.086107,0.103534,0,27,0,3,3
EstfaniAguiar,,,1,1,1,0,27,0,1,1
leonelortega39,,,25,0.070865,0.086028,0,56,0,1,1
LucyCedZ,,,20,0.106921,0.137097,0,7,0,1,1
catsol_417,,,18,0.131687,0.204305,0,7,0,12,12
jose_bano,,,16,0.13918,0.178503,0,4,0,3,3
sebas1298,,,2,0.714286,0.8,0,3,0,3,3
linda_freire,,,19,0.105125,0.124991,0,9,0,1,1
ciudadano_ec,,,16,0.139484,0.176619,0,4,0,2,2
CesarGJaramillo,,,20,0.103487,0.132782,0,26,0,2,2
MaSusanaVacaL,,,0,0,0,0,2,7,0,7
Sebasti64476075,,,18,0.119003,0.147535,0,7,0,1,1
MontserratPons1,,,17,0.106707,0.124668,0,181,0,2,2
Adri_notAdri,,,1,1,1,0,4,0,1,1
EduardoC1968,,,16,0.139484,0.176619,0,4,0,2,2
marcialleon73,,,2,0.666667,0.75,0,181,0,1,1
Zavala_Ra,,,1,1,1,3,7,3,1,4
byroncuestah,,,20,0.107101,0.140415,0,7,0,2,2
majoruiz02,,,18,0.112482,0.135256,0,7,0,1,1
mallumiquingas,,,1,1,1,0,112,0,1,1
NorogramST,,,16,0.132929,0.163956,0,181,0,9,9
PlacnciaGuilkpi,,,15,0.141057,0.169634,462.947436,181,1,1,2
CRISTIANGUAYCHA,,,14,0.163338,0.216056,0,4,0,8,8
guillewongc,,,4,0.571429,0.760417,0,181,0,5,5
leobastidasyar,,,0,0,0,0,181,1,0,1
ARS95,,,1,1,1,0,121,0,1,1
Luisledesma201,,,20,0.106939,0.137933,0,7,0,1,1
ARoer66,,,20,0.103119,0.128942,0,26,0,1,1
pily25her,,,14,0.160382,0.209966,0,4,0,9,9
dlinkDf5d,,,13,0.168241,0.222119,0,4,0,15,15
talin93,,,0,0,0,0,121,7,0,7
HGaby94,,,0,0,0,0,27,4,0,4
Celita1712,,,18,0.123946,0.153627,0,7,0,1,1
cgonzalez79,,,17,0.115071,0.151837,0,181,0,8,8
